uuid,identifier,createdBy,Date,Type,Source,DescriptionOfMoundOrLocale,LanduseAroundMound,LanduseAroundMoundNote,LanduseOnTopOfMound,LanduseOnTopOfMoundNote,PositioninTheLandscape,ProminenceNote,Latitude,Longitude,Northing,Easting,Accuracy,HandheldGPSPoint,Elevation,FacingDirectionForPhoto,Notes,Photo,HeightMax,DiameterMax,HeightMin,DiameterMin,OtherDimension,ShapeNotes,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWhat 2,MostRecentDamageWithin,MostRecentDamageWithin 2,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn
1.00E+18,8364,Adela Sobotkova,14-Sep,Burial Mound,Legacy verification,mound in ploughed field,Annual agriculture,,Annual agriculture,,Lower slope,,42.6425537,26.73592337,4721156.032,478351.1941,3,65,,East,#280-282,files/app/77ea1bc9-e72f-4139-a0b2-46821480ddb5_image-1505371653997.original.jpg,1.4,30,NA,NA,,,,naturally stony soil,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(478351.194094 4721156.0323)
1.00E+18,8365,Adela Sobotkova,14-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Lower slope,,42.64268392,26.73660096,4721170.32,478406.7872,3,66,,East,#283-284,files/app/9f2af3ff-c913-4a95-8e3c-1affcaa4373d_image-1505371742359.original.jpg,1.1,35,0.5,30,,,,,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(478406.787179 4721170.31985)
1.00E+18,9580,Vera Dolezalkova,14-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.39267737,26.0451599,4693817.77,421410.1124,3,86,,Southwest,photo#39,files/app/c25eb486-3c35-4bae-a63e-fc2e1f1bf903_image-1505372067058.original.jpg,0.8,22,NA,20,,,,,No,,,2 - minor damage,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(421410.112429 4693817.769813)
1.00E+18,8366,Adela Sobotkova,14-Sep,Burial Mound,Legacy verification,large mound,Scrub,,Scrub,,Lower slope,,42.64304669,26.73733598,4721210.414,478467.169,3,67,,Northeast,#285-286,files/app/7c4f13e3-d32d-4c89-92c2-7adf94403af9_image-1505372141260.original.jpg,6,45,NA,NA,,,,,No,,,2 - minor damage,Excavation,,2 - good,Other,specify in Annotation),Unknown,,"01, lunette,20,4,2.5,old excavation",,files/app/977c01b3-802d-4af3-be0e-831904609dde_image-1505372564707.original.jpg,POINT(478467.168995 4721210.41441)
1.00E+18,8148,Bara Weissova,14-Sep,Extinct Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.59463523,26.73132482,4715836.307,477957.3135,3,48,,South,on the shore of Pleistocene lake,files/app/6ee8fccc-53d0-41c7-beab-e0f94c65d094_image-1505372585434.original.jpg,0,0,NA,0,,Looks more like embankment of lake than a burial mound,,,No,,,5 - extinct or near extinct,Agriculture,,5 - none or nearly none,Agriculture,,Last year,,,,,POINT(477957.313471 4715836.306785)
1.00E+18,8367,Adela Sobotkova,14-Sep,Burial Mound,Legacy verification,,Scrub,,Scrub,,Lower slope,,42.6438227,26.73759143,4721296.519,478488.3775,3,68,,Southwest,#287,files/app/5ab5a19d-36bf-405f-8a36-933a39185d48_image-1505373172334.original.jpg,2.7,35,NA,30,,,,,No,,,2 - minor damage,Construction,"reservoir incorporated between two mounds, 8366-8367",2 - good,Infrastructure,,Unknown,,,,,POINT(478488.377476 4721296.519097)
1.00E+18,9581,Vera Dolezalkova,14-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.40097691,26.05087367,4694734.066,421890.6929,3,87,,West,photo 43,files/app/4a6f67b8-fb68-4c2a-aca0-0c6f35f6ba4b_image-1505373559341.original.jpg,0.4,15,NA,15,,,,,No,,,3 - damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,,,,POINT(421890.692864 4694734.065739)
1.00E+18,8368,Adela Sobotkova,14-Sep,Burial Mound,Legacy verification,"ploughed up mound, extensive",Annual agriculture,,Annual agriculture,,Lower slope,,42.64259988,26.73766079,4721160.718,478493.6421,3,69,,Southwest,#288,files/app/8aab64b8-b890-451d-a4f1-3d8413a6c5af_image-1505373641128.original.jpg,0.5,25,NA,NA,,,,,No,,,4 - seriously damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,,,,POINT(478493.642139 4721160.717564)
1.00E+18,8369,Adela Sobotkova,14-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Lower slope,,42.64282251,26.73894843,4721185.112,478599.278,3,70,,Northeast,#289,files/app/9683e93c-5452-4028-94dc-2f400d2c9aa5_image-1505373970987.original.jpg,1.65,25,NA,NA,,,,,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(478599.278044 4721185.111523)
1.00E+18,8370,Adela Sobotkova,14-Sep,Burial Mound,Legacy verification,decent mound with a soilmark,Annual agriculture,,Annual agriculture,,Lower slope,,42.64283427,26.73876516,4721186.464,478584.2578,3,71,,North,#290,files/app/cab60457-cf9e-4811-a4c4-c26d69e823c7_image-1505374217325.original.jpg,1.8,30,NA,NA,,,,,No,,,2 - minor damage,Agriculture,,2 - good,Agriculture,,Last month,,,,,POINT(478584.257796 4721186.464244)
1.00E+18,8371,Adela Sobotkova,14-Sep,Burial Mound,Legacy verification,ploughed up mound in stony field,Annual agriculture,,Annual agriculture,,Lower slope,,42.64350289,26.7392875,4721260.577,478627.3075,3,72,,Northeast,#291,files/app/5421a2e7-c3cc-4ab6-bab9-ffbb7fdb679b_image-1505374579322.original.jpg,1.6,33,NA,NA,,,Loose artefacts,Roman tiny sherds,No,,,3 - damaged,Agriculture,,2 - good,Agriculture,,Last month,,,,,POINT(478627.30751 4721260.576643)
1.00E+18,8372,Adela Sobotkova,14-Sep,Burial Mound,Legacy verification,large mound covered by scrub,Annual agriculture,,Scrub,,Lower slope,,42.64298871,26.73953301,4721203.42,478647.2584,3,73,,South,#292,files/app/a606bfcf-3606-4153-9273-793395470166_image-1505374910162.original.jpg,6.5,30,NA,NA,,,,,No,,,1 - pristine,Post-depositional,,1 - full,Post-depositional,,Unknown,,,,,POINT(478647.258352 4721203.419731)
1.00E+18,8373,Adela Sobotkova,14-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Lower slope,,42.64324732,26.74006741,4721232.001,478691.1562,3,74,,Northeast,#298,files/app/3dd6d0a0-d7cd-4c65-87f5-c2f705cacf5f_image-1505375834401.original.jpg,1,26,NA,NA,,,Loose artefacts,Roman base with decoration,Yes,,files/app/6abc4db3-c0db-4446-a3bb-cd13f92f4452_image-1505376013423.original.jpg,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(478691.156182 4721232.001351)
1.00E+18,8149,Bara Weissova,14-Sep,Burial Mound,Legacy verification,Mound called Lozenska Mogila,Annual agriculture,,Scrub,,Valley Bottom or Plain,,42.56532207,26.70678897,4712588.046,475933.0677,3,49,157.8,East,,files/app/0dc5a513-3b59-4772-a540-9d49566b36f8_image-1505377016100.original.jpg,3,36,NA,30,,,,,No,,,4 - seriously damaged,Looting,animal activity,2 - good,Animal activity,,Last year,,"01,rectangular, 3, 3, 1; 02, rectangular, 4, 2, 0.5; 03, irregular, 2, 3, 0.3; 04, irregular, 20, 5, 4, excavated by machine; 05, irregular, 8, 3, 1","Even though there are a large number of robbers trenches, it does not appear that they reached the grave.",files/app/a5848370-cbe0-456d-a7df-43de9a337544_image-1505376613156.original.jpg - files/app/c57c67d2-8c9b-40cb-87e9-b0c7138445af_image-1505377205451.original.jpg,POINT(475933.067678 4712588.046267)
1.00E+18,8374,Adela Sobotkova,14-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Lower slope,,42.64326603,26.74077241,4721233.902,478748.9572,3,75,,Northeast,#300,files/app/2e76121f-2429-4f4b-b8cb-fd5e6dd42f9b_image-1505376282464.original.jpg,1.5,25,NA,NA,,,,,No,,,3 - damaged,Agriculture,,2 - good,Agriculture,,Last month,,,,,POINT(478748.957238 4721233.901604)
1.00E+18,8375,Adela Sobotkova,14-Sep,Burial Mound,Legacy verification,RM villa necropolis,Annual agriculture,,Annual agriculture,,Lower slope,,42.64337221,26.74142446,4721245.527,478802.4471,3,76,,Northeast,#301,files/app/8482e298-d029-4bc0-8e8e-8aa84899dc23_image-1505376563761.original.jpg,1.3,26,NA,NA,,,Loose artefacts,red fw,Yes,Roman?,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(478802.447081 4721245.527444)
1.00E+18,9582,Vera Dolezalkova,14-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.41083273,26.0553341,4695824.347,422269.9411,3,88,,North,photo 45,files/app/cac56c3a-b7fc-46a9-a203-8dfb9524a0de_image-1505376872628.original.jpg,0.4,18,NA,17,,,,,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(422269.94107 4695824.346501)
1.00E+18,8376,Adela Sobotkova,14-Sep,Burial Mound,Legacy verification,Roman villa necropolis,Annual agriculture,,Annual agriculture,,Lower slope,,42.64317995,26.74220435,4721223.984,478866.3161,128,77,,East,#302-305,files/app/837ebe0a-239b-4990-ac28-298e779a19ac_image-1505376903465.original.jpg,1.45,28,NA,NA,,,Loose artefacts,"table amphora handle, base,..rims fit together",Yes,,files/app/8ce03ed4-4ddc-493b-bcc5-cd4dfcccb1f3_image-1505377254402.original.jpg - files/app/fcc4bcc7-2d95-4a5e-97b6-89a16cd3b02b_image-1505377070361.original.jpg,2 - minor damage,Agriculture,,2 - good,Agriculture,,Last month,,,,,POINT(478866.316069 4721223.983519)
1.00E+18,8377,Adela Sobotkova,14-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Scrub,,Lower slope,,42.64383983,26.74300737,4721297.057,478932.3695,3,78,,Northeast,#306-308,files/app/d6131535-c695-49e2-a4f1-0accd43fd1a7_image-1505377536065.original.jpg,3.5,25,NA,NA,,,Other,field stones from RT piledvon the NW side;,No,,,2 - minor damage,Looting,,3 - impaired,Looting,,Unknown,,"[01, round,3,1;02,tail,7,1.5,1]",,files/app/5bfff278-eb7c-4987-a876-099f66af3507_image-1505377919511.original.jpg,POINT(478932.369468 4721297.057242)
1.00E+18,9583,Vera Dolezalkova,14-Sep,Burial Mound,Legacy verification,in the middle of the village,Urban,in a settlement or surrounded by infrastructure,Pasture,grassland,Valley Bottom or Plain,,42.41403509,26.06017882,4696175.509,422672.517,3,90,,West,photo 50,files/app/564a65c4-1d09-4c58-a688-cbbc133d92ba_image-1505378274276.original.jpg,0.6,14,NA,13,,,,,No,,,3 - damaged,Urban development,,4 - minimal,Urban development,,Last week,,,,,POINT(422672.516978 4696175.509019)
1.00E+18,8150,Bara Weissova,14-Sep,Burial Mound,Legacy verification,"Kirchova Mogila, next to highway",Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.55779069,26.70574259,4711752.06,475844.2747,3,50,153.4,Northeast,,files/app/d4f48f4c-0af9-4adc-ae8a-4504e46ff6f9_image-1505378352557.original.jpg,1.5,60,NA,55,,,,,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last year,,,,,POINT(475844.274737 4711752.060217)
1.00E+18,8378,Adela Sobotkova,14-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Lower slope,,42.64391798,26.74169733,4721306.063,478825.0015,3,79,,West,#309,files/app/0da2d1ea-f744-4f01-8d8a-8a7142798401_image-1505378206379.original.jpg,1.3,30,NA,NA,,,,,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(478825.001511 4721306.062903)
1.00E+18,8379,Adela Sobotkova,14-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Lower slope,,42.64431061,26.74055397,4721349.948,478731.4059,3,80,,Northwest,#310,files/app/2e91c015-3c81-4c18-82b7-c65324b2b7cd_image-1505378708184.original.jpg,1.3,25,NA,NA,,,Loose artefacts,"loose red fw, medium thickness X",Yes,Roman,,3 - damaged,Agriculture,,2 - good,Agriculture,,Last month,,,,,POINT(478731.405904 4721349.948168)
1.00E+18,8380,Adela Sobotkova,14-Sep,Burial Mound,Legacy verification,necropolis,Annual agriculture,,Annual agriculture,,Lower slope,,42.64470376,26.74041181,4721393.64,478719.8857,3,81,,North,,files/app/26923a6a-919d-4331-a774-af855e94946e_image-1505378970657.original.jpg,0.8,18,NA,NA,,,Loose artefacts,,Yes,Roman,,4 - seriously damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,,,,POINT(478719.885745 4721393.63971)
1.00E+18,9584,Vera Dolezalkova,14-Sep,Burial Mound,Legacy verification,,Urban,in a settlement or surrounded by infrastructure,Pasture,grassland,Valley Bottom or Plain,,42.41923309,26.06932143,4696744.403,423431.0922,3,91,,Northwest,"photo 51,53",files/app/41f6bd4b-716e-45ed-ad05-e40efb4b3dec_image-1505379501498.original.jpg,2,19,NA,18,,,Other,trash,No,,,4 - seriously damaged,Looting,,4 - minimal,Looting,,Last year,,"[01,rectangular,6,3,1.5]",,files/app/c7c0bc20-33df-4a37-b30f-009063e9f3d6_image-1505379594144.original.jpg,POINT(423431.09219 4696744.403181)
1.00E+18,8381,Adela Sobotkova,14-Sep,Extinct Burial Mound,Legacy verification,"no mound, large light brown soilmark CA 100 m across",Annual agriculture,,Annual agriculture,,Lower slope,,42.64460178,26.74380932,4721381.466,478998.3676,3,82,,South,#312,files/app/6605069d-3c7c-45b3-b713-68cc6487b0c2_image-1505379729176.original.jpg,0,0,NA,NA,,,,,No,,,5 - extinct or near extinct,No observation,,5 - none or nearly none,Agriculture,,Last month,,,,,POINT(478998.367587 4721381.46624)
1.00E+18,8151,Bara Weissova,14-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.56838646,26.71562174,4712925.844,476659.209,3,51,,North,,files/app/b7b5c3aa-4e34-4078-95b5-973b4a55d3ea_image-1505379878542.original.jpg,0.8,55,NA,50,,,,,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last year,,,,,POINT(476659.208968 4712925.844047)
1.00E+18,9585,Vera Dolezalkova,14-Sep,Burial Mound,Legacy verification,,Scrub,,Scrub,,Lower slope,,42.41937669,26.0687763,4696760.84,423386.4176,3,92,243.3,Northwest,photo #54-58,files/app/8da4f95e-87b4-48b4-a219-f41d9ef7cfe1_image-1505380455550.original.jpg,2.6,30,NA,30,,,Artefact scatter,iron age pottery,No,,,4 - seriously damaged,Looting,,4 - minimal,Looting,,Unknown,,"[01, irregular, 10, 6.6, 1.9; 02, circular, 4.4, 4.4, 0.5]",,files/app/01ed5fb8-4dd8-4946-bf8c-057c0f9729cc_image-1505380802075.original.jpg - files/app/101cfe29-2970-4f83-af92-4cff7b4d72ff_image-1505380241892.original.jpg - files/app/b75a88b9-a42d-4405-ba4d-fb728105afce_image-1505380379735.original.jpg,POINT(423386.417553 4696760.840005)
1.00E+18,8152,Bara Weissova,14-Sep,Burial Mound,Legacy verification,Lighter soil mark compared to the surrounding area,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.57042774,26.72944384,4713148.792,477794.4048,3,52,,Northeast,,files/app/d99126d2-7695-4aa6-a6c5-300a5dc7fa98_image-1505381666344.original.jpg,1,40,NA,35,,,Loose artefacts,Roman pottery,No,Roman,files/app/6c2fdb10-ecb7-45d7-9ea7-8b0694122553_image-1505381545859.original.jpg,4 - seriously damaged,Agriculture,,4 - minimal,Agriculture,,Last year,,,,,POINT(477794.404802 4713148.79162)
1.00E+18,8153,Bara Weissova,14-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.5765862,26.69620376,4713841.878,475068.7127,3,53,145.8,North,,files/app/8b65ec24-b546-446b-a3c7-a4f59d5376ef_image-1505383050529.original.jpg,0.8,60,NA,55,,,,,No,,,4 - seriously damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,,,,POINT(475068.712664 4713841.878012)
1.00E+18,8382,Adela Sobotkova,14-Sep,Surface Scatter,Legacy verification,Roman villa,Annual agriculture,,Annual agriculture,,Upper slope,,42.65247945,26.73995829,4722257.178,478685.363,3,83,,East,#320-322,files/app/43bfecd9-b942-4fa5-9e66-d78cf87a2392_image-1505383018077.original.jpg,0,150,NA,NA,,,Artefact scatter,"tiles, bricks, pithos rim, wasters, fineware, cookware, hardwired handmade pottery, sample taken",Yes,Roman,,3 - damaged,Agriculture,,2 - good,Agriculture,,Last month,,,,,POINT(478685.36304 4722257.178262)
1.00E+18,8154,Bara Weissova,14-Sep,Burial Mound,Legacy verification,"Karaybryamska Mogila, massive elevation marker on top",Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.59585691,26.66852819,4715990.224,472805.87,3,54,157,Northwest,,files/app/f40c1cef-b1ef-40be-9eb0-8dbd83ea45d7_image-1505385087834.original.jpg,1,60,NA,55,,,,,No,,,4 - seriously damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,,,,POINT(472805.869956 4715990.223804)
1.00E+18,8383,Adela Sobotkova,14-Sep,Surface Scatter,Survey,,Annual agriculture,,Annual agriculture,,Upper slope,,42.65228682,26.73007714,4722238.327,477875.3736,3,84,,East,#323,files/app/de024cb6-26a2-4825-92f7-95417363acda_image-1505386158127.original.jpg,0,150,NA,NA,,,Artefact scatter,,Yes,"ancient wasters, pottery, brick, tiles,less fancy than 8382",,0 - No observation,Agriculture,,2 - good,Agriculture,,Last month,,,,,POINT(477875.373627 4722238.326642)
1.00E+18,8384,Adela Sobotkova,14-Sep,Burial Mound,Legacy verification,north most mound on the ridge,Scrub,,Pasture,grassland,Hilltop,,42.65134773,26.72751261,4722134.722,477664.8322,3,85,,Southwest,#325,files/app/5df45b26-6043-4b44-948a-9112ec42c3dc_image-1505386699041.original.jpg,2.5,25,NA,NA,,,,,No,,,2 - minor damage,Anthropogenic,perhaps road cut,1 - full,Post-depositional,,Unknown,,,tiny bit of rose scrub on top,,POINT(477664.832229 4722134.722159)
1.00E+18,8385,Adela Sobotkova,14-Sep,Burial Mound,Legacy verification,hilltop mound behind water station,Scrub,,Scrub,,Hilltop,,42.65042453,26.72764953,4722032.173,477675.7245,3,86,,Southeast,#327,files/app/1498a94b-4f80-4db8-98d9-3700b1f227ef_image-1505387046702.original.jpg,3,30,2,NA,,,,,No,,,2 - minor damage,Looting,,2 - good,Post-depositional,,Unknown,,"[01,oblong,8,4,1.5,on top in the middle with scrub inside;02, crescent,7,2.5,1,southside]",,files/app/fc4e26db-45ca-4e57-a94d-040d80996ab9_image-1505387431056.original.jpg,POINT(477675.72453 4722032.172756)
1.00E+18,8155,Bara Weissova,14-Sep,Extinct Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.61255764,26.6897997,4717838.072,474557.7939,3,55,,North,,files/app/9642b5ff-13a9-4ed8-ad36-b1455655d851_image-1505387508222.original.jpg,0,0,NA,0,,,Artefact scatter,Some pottery possibly Roman,No,Roman,files/app/df6d0cbd-f161-4bc6-bfe4-d79ce5be4934_image-1505387399630.original.jpg,5 - extinct or near extinct,Agriculture,,5 - none or nearly none,Agriculture,,Last month,,,,,POINT(474557.793857 4717838.071988)
1.00E+18,8386,Adela Sobotkova,14-Sep,Extinct Burial Mound,Legacy verification,mound converted into a water station,Scrub,,Pasture,grassland,Hilltop,,42.64992832,26.72774941,4721977.046,477683.7343,3,087 (GPS point taken north of the fenced area),,South,#328,files/app/3aca0284-4f56-407c-b138-d8fc717e189c_image-1505387581682.original.jpg - files/app/f86e3fb4-5515-4e09-8bcd-44f3c278cd9f_image-1505387591416.original.jpg,3,30,NA,NA,,,,,No,,,5 - extinct or near extinct,Urban development,,5 - none or nearly none,Infrastructure,,Unknown,,,,,POINT(477683.734318 4721977.046082)
1.00E+18,8156,Bara Weissova,14-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.61120343,26.69773316,4717685.344,475207.9494,3,56,,Northeast,,files/app/5e1f9376-d103-44ad-bd7a-e42de834bb5c_image-1505388327858.original.jpg,0.8,60,NA,60,,,,,No,,,4 - seriously damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,,,,POINT(475207.949372 4717685.343928)
1.00E+18,9586,Vera Dolezalkova,15-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Pasture,grassland,Lower slope,,42.31814355,26.61485191,4685172.139,468262.3038,3,93,173.9,North,photo #1-2,files/app/cffbc5b7-0fc6-467f-915f-238686cb70f0_image-1505454051695.original.jpg,7,45,6,45,,,,,No,,,2 - minor damage,Looting,,3 - impaired,Looting,,Unknown,,"[01, rectangular, 1.5, 1, 0.5, 3 animal holes]",,files/app/a82f5032-7b94-4769-9ce3-7a1821169ed4_image-1505453885221.original.jpg - files/app/e0c9ab2e-b92c-4e8f-ad13-ef9d94c7a7ff_image-1505453678716.original.jpg,POINT(468262.303824 4685172.139061)
1.00E+18,9587,Vera Dolezalkova,15-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Pasture,grassland,Lower slope,,42.31883148,26.61519642,4685248.395,468291.0384,3,94,,East,"photo #3
west half of mound is cut by road in north west direction and damaged by deep ploughing.",files/app/08dc028d-ec1f-47c7-bcbf-dade8fb971fa_image-1505454670488.original.jpg,2,30,NA,30,,,,,No,,,4 - seriously damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,,,,POINT(468291.038352 4685248.395125)
1.00E+18,9588,Vera Dolezalkova,15-Sep,Burial Mound,Legacy verification,,Pasture,grassland,Pasture,grassland,Lower slope,,42.31630191,26.61322669,4684968.259,468127.4504,3,95,,South,photo # 4-8,files/app/0e325680-d5ea-424b-8611-1a6a84e8b2d3_image-1505455699384.original.jpg,7,45,NA,40,,,,,No,,,2 - minor damage,Looting,,3 - impaired,Looting,,Unknown,,"[01, oval, 3.5, 3,1; 02, oval, 3.5, 3, 1; 03, rectangular, 3, 2.5, 0.8; 04, oval, 4, 3.5, 1, all RT shallow]",,files/app/02e80851-60e8-41a2-9758-f4143fe043b0_image-1505455104333.original.jpg - files/app/13258484-7a53-4df8-a52e-34ab275c37c2_image-1505455795117.original.jpg - files/app/2c76a282-33fb-4d56-863f-8c54b6eeefba_image-1505455484105.original.jpg - files/app/8b1fd9d7-3f3a-4fce-9289-d6a6438c871f_image-1505455282631.original.jpg - files/app/ccaeb144-e170-4863-bef5-c90487321ef8_image-1505455369937.original.jpg,POINT(468127.450421 4684968.258547)
1.00E+18,8387,Adela Sobotkova,15-Sep,Burial Mound,Legacy verification,mound with geodetic matker,Annual agriculture,,Scrub,,Hilltop,,42.37069033,26.68817614,4690981.965,474325.9007,3,88,204.9,West,#329,files/app/efc17309-87f3-4a48-ab4b-8c9773288526_image-1505455178772.original.jpg,2.8,33,NA,NA,,,,,No,,,2 - minor damage,Looting,,2 - good,Looting,,Unknown,,"01,round,4,1.7,older than 5 years overgrown",,files/app/4d87cdbe-a6b4-4b15-9725-c17abd17b02e_image-1505455508960.original.jpg,POINT(474325.900682 4690981.965327)
1.00E+18,8157,Bara Weissova,15-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.37328677,26.69571289,4691268.015,474947.473,3,57,,Northwest,,files/app/c358fe20-e9a1-46b6-a84e-6b5dcea78cc0_image-1505455504421.original.jpg,0.8,40,NA,50,,,,,No,,,4 - seriously damaged,Agriculture,,5 - none or nearly none,Agriculture,,Last year,,,,,POINT(474947.473013 4691268.014998)
1.00E+18,8388,Adela Sobotkova,15-Sep,Uncertain Mound,Legacy verification,"uncertain small mound, light brown soilmark next to 8387 and 8389",Annual agriculture,,Annual agriculture,,Hilltop,,42.36998376,26.68746995,4690903.723,474267.4673,3,89,,Southwest,#330,files/app/68947fa7-3efb-4d2d-9b58-c6aebe7307d5_image-1505455834494.original.jpg,0.4,15,NA,NA,,,,,No,,,4 - seriously damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,,,,POINT(474267.467296 4690903.723142)
1.00E+18,9589,Vera Dolezalkova,15-Sep,Burial Mound,Legacy verification,,Pasture,grassland,Pasture,grassland,Lower slope,,42.31521899,26.61229091,4684848.368,468049.7878,3,96,,Southwest,photo #9,files/app/c433177a-8603-492f-b3e1-3a3ac605e12f_image-1505456156088.original.jpg,1,15,NA,13,,,,,No,,,2 - minor damage,Post-depositional,,3 - impaired,Unknown,,Unknown,,,,,POINT(468049.787759 4684848.367988)
1.00E+18,8389,Adela Sobotkova,15-Sep,Burial Mound,Legacy verification,mound and soilmark,Annual agriculture,,Annual agriculture,,Hilltop,,42.37009877,26.68690912,4690916.664,474221.3384,3,90,,West,"#331,333",files/app/17f3a13f-9119-4cfd-a605-943b305c60e1_image-1505456087470.original.jpg,1,28,0.8,NA,,,,,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,"animal burrow in the centre showing 20 cm cultural layer, and 20 cm of limestone bedrock",files/app/8f7e3442-9bb2-4a06-84ef-1ed2dba8f916_image-1505456300123.original.jpg,POINT(474221.338445 4690916.663801)
1.00E+18,9590,Vera Dolezalkova,15-Sep,Burial Mound,Legacy verification,,Pasture,grassland,Pasture,grassland,Lower slope,,42.31461665,26.61197769,4684781.604,468023.6714,3,97,,South,photo #10,files/app/e66659c2-88e2-4dc2-bdd8-4a65e8e082ea_image-1505456415441.original.jpg,1.5,19,NA,18,,,,,No,,,2 - minor damage,Post-depositional,,3 - impaired,Unknown,,Unknown,,,,,POINT(468023.671395 4684781.604499)
1.00E+18,8390,Adela Sobotkova,15-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Other,explain in notes (dirt road,Upper slope,,42.37046618,26.68530493,4690957.947,474089.406,3,91,,Northeast,#334,files/app/0078942c-0a67-4298-8fa5-1d0a488c26a2_image-1505456797915.original.jpg,0.8,32,NA,NA,,,,,No,,,4 - seriously damaged,Road cut,agriculture,4 - minimal,Agriculture,,Last month,,,,,POINT(474089.405998 4690957.947345)
1.00E+18,8391,Adela Sobotkova,15-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Hilltop,,42.37002416,26.6842255,4690909.196,474000.3485,3,92,,Northeast,#337,files/app/b9d0cbf8-273e-4b96-a99c-13dbe58821d0_image-1505457167203.original.jpg,1.5,35,NA,NA,,,Loose artefacts,red fw medium thick walled pottery,No,,,3 - damaged,Agriculture,,2 - good,Agriculture,,Last month,,,,,POINT(474000.34847 4690909.195911)
1.00E+18,9591,Vera Dolezalkova,15-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Upper slope,,42.3087997,26.60858275,4684136.999,467740.9289,3,98,,East,photo 11,files/app/e0a80319-806a-4844-90e3-3a8c218d97bb_image-1505457685430.original.jpg,1.5,20,NA,20,,,,,No,,,2 - minor damage,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(467740.928942 4684136.999067)
1.00E+18,8158,Bara Weissova,15-Sep,Burial Mound,Legacy verification,,Pasture,grassland,Pasture,grassland,Hilltop,,42.40829294,26.76341679,4695137.247,480532.486,3,58,305.4,Northwest,,files/app/d7ec04ff-922b-4b10-a05a-09217bb3ed6e_image-1505457951341.original.jpg,1,35,NA,30,,,,,No,,,1 - pristine,No observation,,1 - full,No observation,,Not relevant,,,,,POINT(480532.486032 4695137.247436)
